"","waterYear","hindcast_ice_off_wy_doy","T__Feb","T__Mar","T__Apr","T__May","T_MarAprcumul","T_AprMaycumul","T_MarMaycumul","first_snow_acc_wydoy","cont_snow_acc_wydoy","first_snow_melt_wydoy","last_snow_melt_wydoy","max_swe_wydoy","max_swe","wy_doy_20Percent.x","wy_doy_20Percent.y","wy_doy_20Percent"
"1",1992,230,-173.614166666667,-105.263333333333,57.4802470355731,150.543586956522,-47.7830862977602,208.023833992095,102.760500658762,25,25,231,231,208,386.1,234,234,234
"2",1993,265,-234.972083333333,-138.45259057971,-72.06,120.68125,-210.51259057971,48.62125,-89.8313405797102,26,31,253,253,209,662.9,243,243,243
"3",1994,239,-230.132916666667,-110.579166666667,-38.8806884057971,190.69375,-149.459855072464,151.813061594203,41.2338949275362,10,10,241,241,197,497.8,235,235,235
"4",1995,278,-125.173333333333,-140.1175,-86.6405072463768,26.455,-226.758007246377,-60.1855072463768,-200.303007246377,7,18,268,268,243,647.7,257,257,257
"5",1996,247,-182.77,-160.709583333333,-48.1079166666667,166.852641730605,-208.8175,118.744725063939,-41.9648582693947,354,23,252,252,218,754.4,246,246,246
"6",1997,245,-247.83,-93.3508333333333,-131.503423913043,117.118623188406,-224.854257246377,-14.3848007246377,-107.735634057971,363,27,259,259,215,779.8,244,244,244
"7",1998,252,-220.552952898551,-169.180416666667,-74.715,157.947816391275,-243.895416666667,83.2328163912746,-85.947600275392,24,24,245,245,209,505.5,241,241,241
"8",1999,251,-175.68375,-80.4583333333333,-108.508333333333,67.62375,-188.966666666667,-40.8845833333334,-121.342916666667,27,27,260,260,218,660.4,247,247,247
"9",2000,226,-137.5675,-137.4,24.935615942029,206.204003623188,-112.464384057971,231.139619565217,93.7396195652173,349,54,242,242,206,563.9,237,237,237
"10",2001,241,-194.56625,-156.11356884058,4.0555615942029,141.395416666667,-152.058007246377,145.45097826087,-10.6625905797101,360,31,238,238,206,386.1,229,229,229
"11",2002,226,-229.954583333333,-215.293333333333,33.3629166666667,121.81875,-181.930416666667,155.181666666667,-60.1116666666667,343,51,238,238,179,241.3,241,241,241
"12",2003,247,-264.756793478261,-163.559166666667,-17.1267210144928,130.581666666667,-180.685887681159,113.454945652174,-50.1042210144927,2,23,253,253,223,627.4,244,244,244
"13",2004,252,-262.543333333333,-43.0675,-39.3,145.722916666667,-82.3675,106.422916666667,63.3554166666667,33,33,245,245,209,472.4,240,240,240
"14",2005,242,-187.664583333333,-194.585,-25.8354166666667,115.128333333333,-220.420416666667,89.2929166666667,-105.292083333333,30,30,249,249,223,469.9,239,239,239
"15",2006,238,-250.116304347826,-169.46625,28.06625,148.107916666667,-141.4,176.174166666667,6.70791666666672,10,36,238,238,190,439.4,239,239,239
"16",2007,244,-206.8025,-57.2070471014493,-20.8300362318841,121.544577352472,-78.0370833333334,100.714541120588,43.5074940191387,357,18,245,245,209,574,234,234,234
"17",2008,252,-249.672345740009,-218.865833333333,NA,NA,NA,NA,NA,52,52,257,257,228,495.3,247,247,247
"18",2009,249,-187.418333333333,-136.762619047619,-52.564384057971,135.121829710145,-189.32700310559,82.5574456521739,-54.205173395445,12,12,255,255,211,675.6,238,238,238
"19",2010,249,-270.792083333333,-144.4325,-57.2416666666666,51.5041666666667,-201.674166666667,-5.73749999999997,-150.17,358,2,251,251,228,426.7,247,247,247
"20",2011,260,-290.329166666667,-134.841666666667,-96.3116666666667,32.3795833333333,-231.153333333333,-63.9320833333333,-198.77375,19,25,267,267,234,739.1,260,260,260
"21",2012,213,-266.788333333333,NA,42.0691666666667,145.829166666667,NA,187.898333333333,NA,9,26,230,230,171,365.8,233,233,233
"22",2013,251,-268.53,-163.94125,-126.565833333333,100.175416666667,-290.507083333333,-26.3904166666666,-190.331666666667,25,25,247,247,222,444.5,248,248,248
"23",2014,241,-215.912083333333,-130.73375,-44.965,116.507083333333,-175.69875,71.5420833333333,-59.1916666666666,363,11,251,251,196,693.4,242,242,242
"24",2015,244,-171.885833333333,-38.8883333333333,-7.05208333333333,69.7504166666667,-45.9404166666667,62.6983333333333,23.81,365,42,249,249,211,449.6,244,244,244
"25",2016,249,-167.404583333333,-152.983333333333,-42.5733333333333,83.5804166666667,-195.556666666667,41.0070833333333,-111.97625,21,21,249,249,190,457.2,247,247,247
"26",2017,242,-142.788333333333,-36.6879166666667,-39.6667391304348,91.2525,-76.3546557971014,51.5857608695652,14.8978442028986,7,49,253,253,191,591.8,249,249,249
"27",2018,231,-227.755833333333,-143.138333333333,-28.6916666666667,186.4375,-171.83,157.745833333333,14.6074999999999,360,36,233,233,192,360.7,228,228,228
"28",2019,254,-260.97625,-171.57375,-11.395,29.5241666666667,-182.96875,18.1291666666667,-153.444583333333,9,9,253,253,187,508,249,249,249
"29",2020,232,-247.675,-112.169202898551,-55.5791666666667,161.416666666667,-167.748369565217,105.8375,-6.33170289855063,11,21,242,242,202,604.5,241,241,241
"30",2021,252,-278.869534743722,-164.974056064073,-72.4666666666667,97.325,-237.44072273074,24.8583333333333,-140.11572273074,345,25,250,250,211,518.2,245,245,245
"31",2022,252,-270.785900860518,-149.740453819972,-61.9569677322423,NA,-211.697421552214,-61.9569677322423,-211.697421552214,10,10,250,250,201,457.2,248,248,248
